IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
108.162.192.113,4,4,0.00,101.72,0.65,SIN
108.162.196.150,4,4,0.00,100.32,0.56,SIN
173.245.59.17,4,4,0.00,102.19,0.55,SIN
173.245.58.116,4,4,0.00,101.97,0.43,SIN
104.18.125.20,4,4,0.00,151.32,0.41,LAX
104.16.126.42,4,4,0.00,154.43,0.41,LAX
108.162.194.89,4,4,0.00,81.98,0.33,SIN
108.162.193.96,4,4,0.00,101.86,0.27,SIN
108.162.198.167,4,4,0.00,72.63,0.22,NRT
108.162.195.24,4,4,0.00,84.63,0.21,SIN
104.19.125.226,4,1,0.75,165.87,0.00,N/A
104.20.57.41,4,3,0.25,255.91,0.00,N/A
104.18.115.30,4,4,0.00,156.88,0.00,N/A
141.101.123.173,4,4,0.00,157.06,0.00,N/A
141.101.122.170,4,4,0.00,157.12,0.00,N/A
104.19.33.9,4,4,0.00,161.99,0.00,N/A
104.18.67.13,4,4,0.00,164.09,0.00,N/A
104.16.103.58,4,4,0.00,165.78,0.00,N/A
104.16.125.182,4,4,0.00,165.89,0.00,N/A
104.19.30.23,4,4,0.00,166.25,0.00,N/A
173.245.49.62,4,4,0.00,168.97,0.00,N/A
141.101.114.70,4,4,0.00,169.15,0.00,N/A
104.19.220.10,4,4,0.00,171.83,0.00,N/A
141.101.115.83,4,4,0.00,172.72,0.00,N/A
141.101.121.192,4,4,0.00,174.32,0.00,N/A
104.18.250.204,4,4,0.00,176.69,0.00,N/A
141.101.90.164,4,4,0.00,179.50,0.00,N/A
172.67.253.0,4,4,0.00,179.53,0.00,N/A
141.101.113.240,4,4,0.00,186.09,0.00,N/A
104.18.116.53,4,4,0.00,188.07,0.00,N/A
104.18.166.144,4,4,0.00,191.32,0.00,N/A
172.67.255.19,4,4,0.00,198.82,0.00,N/A
104.19.12.225,4,4,0.00,206.21,0.00,N/A
141.101.120.250,4,4,0.00,208.30,0.00,N/A
172.67.95.11,4,4,0.00,259.68,0.00,N/A
172.64.48.122,4,3,0.25,110.06,0.00,N/A
172.64.157.108,4,3,0.25,126.83,0.00,N/A
172.64.155.158,4,3,0.25,131.45,0.00,N/A
172.64.156.154,4,3,0.25,131.66,0.00,N/A
104.16.129.99,4,3,0.25,149.10,0.00,N/A
104.19.159.49,4,3,0.25,155.28,0.00,N/A
104.18.73.47,4,3,0.25,155.71,0.00,N/A
104.19.204.236,4,3,0.25,156.45,0.00,N/A
104.16.127.86,4,3,0.25,157.44,0.00,N/A
104.17.177.131,4,3,0.25,157.56,0.00,N/A
172.66.0.189,4,3,0.25,158.93,0.00,N/A
